#,Time in Sec,Time in usec, Bytes sent,Sender latitude,Sender longitude, Sender Speed(km/h),Sender Altitude(m), Receiver latitude, Receiver Longitude, Receiver Speed,Receiver Altitude(m), Packet Received (Y/N), Bytes Received, Signal Strength, Noise Strength
0,1113414244,814318,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,N,0,0,0
1,1113414244,839829,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,Y,1470,-256,-256
2,1113414244,840930,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,Y,1470,-256,-256
3,1113414244,840945,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,Y,1470,-256,-256
4,1113414244,840963,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,Y,1470,-256,-256
5,1113414244,842149,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,Y,1470,-256,-256
6,1113414244,842163,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,N,0,0,0
7,1113414244,843276,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,Y,1470,-256,-256
8,1113414244,843290,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,Y,1470,-256,-256
9,1113414244,843303,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,Y,1470,-256,-256
10,1113414244,843318,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,Y,1470,-256,-256
11,1113414244,844426,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,Y,1470,-256,-256
12,1113414244,844440,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,Y,1470,-256,-256
13,1113414244,844455,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,Y,1470,-256,-256
14,1113414244,844468,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,Y,1470,-256,-256
15,1113414244,845579,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,Y,1470,-256,-256
16,1113414244,845592,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,Y,1470,-256,-256
17,1113414244,845606,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,Y,1470,-256,-256
18,1113414244,845620,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,N,0,0,0
19,1113414244,846731,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,N,0,0,0
20,1113414244,846744,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,N,0,0,0
21,1113414244,846759,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,N,0,0,0
22,1113414244,846772,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,N,0,0,0
23,1113414244,847939,1470,33.793176N,84.390636W,84.400002,262.399994,33.796003N,84.393137W,92.099998,267.200012,Y,1470,-256,-256
