#,Time in Sec,Time in usec, Bytes sent,Sender latitude,Sender longitude, Sender Speed(km/h),Sender Altitude(m), Receiver latitude, Receiver Longitude, Receiver Speed,Receiver Altitude(m), Packet Received (Y/N), Bytes Received, Signal Strength, Noise Strength
2983,1109190627,834038,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2984,1109190627,834051,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2985,1109190627,834064,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2986,1109190627,834077,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2987,1109190627,834089,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2988,1109190627,834102,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2989,1109190627,834115,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2990,1109190627,834127,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2991,1109190627,834140,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2992,1109190627,834153,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2993,1109190627,834166,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2994,1109190627,834178,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2995,1109190627,834191,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2996,1109190627,834204,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2997,1109190627,834218,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2998,1109190627,834231,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2999,1109190627,834244,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3000,1109190627,834836,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3001,1109190627,834856,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3002,1109190627,834870,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3003,1109190627,834883,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3004,1109190627,834896,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3005,1109190627,834909,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3006,1109190627,834922,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3007,1109190627,834934,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3008,1109190627,834947,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3009,1109190628,54609,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3010,1109190628,54626,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3011,1109190628,54639,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3012,1109190628,54652,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3013,1109190628,54665,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3014,1109190628,54678,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3015,1109190628,54690,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3016,1109190628,54703,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3017,1109190628,54716,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3018,1109190628,54729,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3019,1109190628,54742,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3020,1109190628,54754,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3021,1109190628,54767,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3022,1109190628,54780,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3023,1109190628,54793,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
